Date,Open,High,Low,Close,Adj Close,Volume
2015-07-06,259.200012,261.200012,256.899994,258.799988,230.526306,33628335
2015-07-07,259.649994,259.649994,251.800003,252.149994,224.602798,39396892
2015-07-08,259.000000,262.274994,257.273987,257.299988,229.190155,87780445
2015-07-09,258.000000,262.450012,256.500000,261.149994,232.619568,34329384
2015-07-10,263.000000,270.450012,262.250000,268.049988,238.765762,45805231
2015-07-13,272.049988,275.308014,270.850006,273.700012,243.798492,53933584
2015-07-14,274.250000,276.029999,272.450989,276.000000,245.847275,32793529
2015-07-15,275.000000,278.049988,273.415009,278.049988,247.673233,33663508
2015-07-16,278.950012,281.250000,278.750000,280.000000,249.410217,39786031
2015-07-17,279.950012,280.600006,278.350006,280.100006,249.499283,34270713
2015-07-20,280.100006,281.950012,279.399994,280.850006,250.167374,22794355
2015-07-21,280.850006,283.750000,280.250000,283.149994,252.216141,32384446
2015-07-22,281.000000,282.850006,279.600006,281.399994,250.657288,28637984
2015-07-23,283.100006,284.750000,280.399994,281.750000,250.969009,28649144
2015-07-24,280.799988,282.899994,280.000000,282.149994,251.325287,35596813
2015-07-27,280.100006,281.450012,275.700012,276.799988,246.559784,41053743
2015-07-28,277.299988,280.850006,277.299988,279.600006,249.053940,31760658
2015-07-29,283.500000,288.700012,283.350006,284.600006,253.507721,57312024
2015-07-30,286.000000,288.850006,285.850006,287.049988,255.689987,42573711
2015-07-31,287.500000,289.450012,286.350006,288.950012,257.382446,40987558
2015-08-03,287.549988,289.899994,286.399994,288.200012,256.714386,33963175
2015-08-04,286.549988,287.600006,279.850006,282.149994,251.325287,50299034
2015-08-05,282.250000,284.750000,281.100006,282.000000,251.191711,60374911
2015-08-06,280.000000,282.649994,279.350006,282.000000,252.085632,32879931
2015-08-07,282.750000,283.200012,280.899994,281.250000,251.415222,20205652
2015-08-10,282.200012,282.850006,278.000000,282.600006,252.622009,45503931
2015-08-11,281.799988,282.000000,278.299988,278.350006,248.822830,27438960
2015-08-12,276.149994,276.299988,269.399994,271.149994,242.386597,55583256
2015-08-13,274.899994,277.549988,274.250000,275.549988,246.319855,35524505
2015-08-14,276.500000,277.100006,272.750000,274.350006,245.247162,22866367
2015-08-17,276.899994,277.200012,272.372986,273.950012,244.889618,21732772
2015-08-18,273.500000,275.149994,272.250000,274.049988,244.979019,20907881
2015-08-19,272.649994,273.000000,267.549988,267.899994,239.481369,26889552
2015-08-20,265.500000,270.049988,264.250000,265.149994,237.023071,30765978
2015-08-21,261.950012,264.700012,256.799988,256.799988,229.558823,38649169
2015-08-24,247.600006,251.850006,237.300003,244.699997,218.742371,95800341
2015-08-25,249.949997,260.799988,249.100006,256.350006,229.156570,64279552
2015-08-26,254.600006,258.799988,250.800003,252.000000,225.268021,48887274
2015-08-27,258.799988,264.350006,258.100006,262.600006,234.743607,45542709
2015-08-28,260.500000,263.450012,257.750000,261.450012,233.715576,43554775
2015-09-01,265.899994,265.950012,250.750000,253.149994,226.296021,43535518
2015-09-02,254.000000,258.899994,250.300003,253.800003,226.877090,28381044
2015-09-03,256.350006,258.799988,255.500000,257.299988,230.005798,27927333
2015-09-04,254.600006,255.000000,250.000000,250.899994,224.284714,31456305
2015-09-07,252.250000,254.699997,251.649994,253.000000,226.161942,18072664
2015-09-08,254.550003,260.000000,253.815002,258.500000,231.078522,29842241
2015-09-09,265.000000,266.410004,262.000000,262.500000,234.654190,34297916
2015-09-10,258.799988,261.299988,257.399994,258.600006,231.167877,32064628
2015-09-11,259.049988,259.549988,256.600006,258.450012,231.033844,18996962
2015-09-14,258.450012,260.250000,252.899994,254.500000,227.502838,26097874
2015-09-15,255.000000,261.000000,253.850006,259.649994,232.106506,43010829
2015-09-16,263.500000,263.750000,260.250000,262.500000,234.654190,31479147
2015-09-17,263.000000,263.549988,259.049988,260.450012,232.821655,37409872
2015-09-18,258.450012,258.600006,250.199997,253.250000,226.385437,71056711
2015-09-21,251.800003,257.200012,250.399994,254.899994,227.860397,25774865
2015-09-22,255.399994,255.550003,246.649994,246.649994,220.485550,41528376
2015-09-23,247.550003,251.600006,246.100006,248.199997,221.871109,24949647
2015-09-24,248.800003,250.899994,245.899994,246.449997,220.306763,23852360
2015-09-25,250.800003,256.250000,248.225006,254.949997,227.905106,31433038
2015-09-28,254.149994,255.199997,245.199997,245.199997,219.189346,35400077
2015-09-29,241.000000,243.350006,236.649994,239.000000,213.647064,41888256
2015-09-30,243.500000,247.209000,243.000000,244.149994,218.250732,40715567
2015-10-01,247.550003,249.800003,245.750000,247.149994,220.932510,34456601
2015-10-02,248.550003,253.460007,244.750000,248.550003,222.184006,32907386
2015-10-05,253.699997,256.649994,251.550003,256.200012,229.022491,30445454
2015-10-06,257.350006,257.899994,254.350006,255.350006,228.262665,22825541
2015-10-07,256.100006,259.399994,254.300003,255.750000,228.620224,34680485
2015-10-08,253.000000,256.239990,252.399994,254.750000,227.726303,24812157
2015-10-09,256.750000,259.500000,254.500000,257.000000,229.737625,24011025
2015-10-12,256.850006,257.750000,255.300003,256.549988,229.335358,14712630
2015-10-13,257.200012,257.391998,247.582001,251.399994,224.731674,40728752
2015-10-14,248.250000,251.449997,245.800003,246.050003,219.949203,29455900
2015-10-15,245.000000,249.300003,241.792007,248.000000,221.692352,48316260
2015-10-16,250.300003,252.399994,249.100006,250.800003,224.195313,24683825
2015-10-19,251.500000,254.649994,251.300003,254.649994,227.636887,33340057
2015-10-20,255.000000,255.750000,251.949997,252.600006,225.804413,25404848
2015-10-21,253.300003,253.350006,246.100006,248.050003,221.737015,40003127
2015-10-22,247.500000,251.679993,246.250000,250.649994,224.061218,25943995
2015-10-23,252.949997,254.257996,250.871002,251.250000,224.597595,34709267
2015-10-26,252.000000,253.100006,250.350006,250.949997,224.329407,19325332
2015-10-27,250.199997,252.479996,249.485001,250.850006,224.240005,23323226
